Name,UID,Condensate Type,Species Tax Id,Proteins,DNA,RNA,C-mods,Condensatopathy,Confidence Score
"Synthetic Condensate 000329","8339491E","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000330","735EA068","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000331","AC924507","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000332","6697AF75","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000333","D12D7489","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000334","15E34471","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000335","54B206F5","synthetic","562","2","No","No","No","No","1"
"Synthetic Condensate 000336","19512460","synthetic","7227","6","No","No","No","No","1"
"Synthetic Condensate 000337","CB5AE2BC","synthetic","10090","2","No","No","No","No","1"
"Synthetic Condensate 000338","98C8800A","synthetic","9606","2","No","No","Yes","No","1"
"Synthetic Condensate 000339","4A9B7D75","synthetic","3702","3","No","No","No","No","1"
"Synthetic Condensate 000340","477BAC9B","synthetic","7227","8","No","No","No","No","1"
"Synthetic Condensate 000341","4081D115","synthetic","559292","3","No","No","No","No","1"
"Synthetic Condensate 000342","45F3D8EC","synthetic","0","4","No","No","No","No","1"
"Synthetic Condensate 000343","E7338DBF","synthetic","559292","3","No","No","No","No","1"
"Synthetic Condensate 000344","35D5A3ED","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000345","097E35FD","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000346","24B12ACB","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000347","A12AD357","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000348","04340D3C","synthetic","1140","3","No","No","No","No","1"
"Synthetic Condensate 000349","4CAAAA97","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000350","0A6B6B10","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000351","9E21F925","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000352","2958074C","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000353","67BDE49F","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000354","96C56C72","synthetic","103690","2","No","No","No","No","1"
"Synthetic Condensate 000355","7EE86442","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000356","E6406A9A","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000357","F50842E4","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000358","7E3E5BC3","synthetic","3055","4","No","No","No","No","1"
"Synthetic Condensate 000359","2A09918C","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000360","69B7DAF2","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000361","0AEBFC12","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000362","D3B9EAFD","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000363","44FCF654","synthetic","9606","4","No","No","No","No","1"
"Synthetic Condensate 000364","48DB1DAF","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000365","3B1261D3","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000366","208F8600","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000367","C4E5D2FC","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000368","890CF536","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000369","B5F9EA4E","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000370","1A0651A8","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000371","FE3CB95B","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000372","5F622AE2","synthetic","559292","6","No","No","No","No","1"
"Synthetic Condensate 000373","9B5E283A","synthetic","9606","6","No","No","No","No","1"
"Synthetic Condensate 000374","9B5B2FB8","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000375","E1879998","synthetic","9606","10","No","No","No","No","1"
"Synthetic Condensate 000376","BBD49DEB","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000377","FB44DE0F","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000378","763F4AA2","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000379","3FEF42AA","synthetic","9606","2","No","No","No","No","4"
"Synthetic Condensate 000380","942898C4","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000381","500D12F1","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000382","F1AC7DF2","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000383","93BC9B9E","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000384","FF8F0FD5","synthetic","9606","1","No","No","No","No","4"
"Synthetic Condensate 000385","FBE2A4AB","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000386","8188F968","synthetic","9606","2","No","No","No","No","3"
"Tam body","7CAF9006","biomolecular","559292","11","No","Yes","No","No","1"
"Tau Condensate","03D56D03","biomolecular","9606","5","No","Yes","Yes","Yes","3"
"Tau inclusion","E94C8F89","biomolecular","10090","1","No","Yes","No","No","1"
"TAZ Condensate","BB266630","biomolecular","9606","8","No","Yes","No","No","4"
"TBC1D2B condensate","2EABBFCD","biomolecular","9606","1","No","No","No","No","4"
"T-cell signalosome","36896B46","biomolecular","9606","3","No","No","No","No","5"
"TDP-25 inclusions","C4C56ED2","biomolecular","9606","1","No","No","No","No","4"
"TIAR2 neuronal granule","1C3173BF","biomolecular","6239","1","No","No","No","No","5"
"TIFA-TRAF6 condensate","88626044","biomolecular","0","2","No","No","No","No","4"
"TIFA-TRAF6 Condensate","437BC32B","biomolecular","9606","7","No","No","No","No","4"
"+TIP","EA3337F5","biomolecular","9606","3","No","No","No","No","5"
"+TIP body","9095A454","biomolecular","284812","3","No","No","No","No","3"
"+TIP body","F813C9D9","biomolecular","559292","3","No","No","No","No","5"
"TIS granule","ACCC2039","biomolecular","9606","1","No","Yes","No","No","4"
"TopBP1 condensate","C4912696","biomolecular","9606","1","Yes","No","Yes","No","4"
"Transcriptional condensate","88794875","biomolecular","4081","1","Yes","No","No","No","1"
"Transcriptional condensate","BE14A044","biomolecular","559292","4","No","Yes","No","No","3"
"Transcriptional condensate","D9A36668","biomolecular","10090","8","Yes","No","No","No","5"
"Transcriptional condensate","1E246C77","biomolecular","237561","4","Yes","No","No","No","1"
"Transcriptional condensate","38EC0B30","biomolecular","9606","41","No","Yes","Yes","Yes","1"
"Transcriptional condensates","7C5C94C0","biomolecular","83333","3","No","No","No","No","1"
"Transcription condensate","662EAB36","biomolecular","7955","4","Yes","Yes","No","No","5"
"Transcription Elongation Condensate","7C2F7184","biomolecular","9606","8","Yes","Yes","No","No","4"
"Translational Condensate","E2C825DB","biomolecular","559292","4","No","Yes","No","No","4"
"Trbd","0BB92809","biomolecular","7227","1","No","No","No","No","5"
"TRIM45 bodies","D5A5F0CB","biomolecular","9606","1","No","No","No","No","4"
"U-body","A086309B","biomolecular","7227","4","No","Yes","No","No","5"
"U-body","91E14AE1","biomolecular","9606","1","No","No","No","No","1"
"Ubqln puncta","EB3EADD3","biomolecular","9606","3","No","No","No","No","4"
"Viral factory","54D84D15","infectious","9606","5","No","No","No","No","4"
"Viral Factory","75451661","infectious","9606","2","No","No","No","Yes","4"
"viral replication compartment (VRC)","B3E5E6A1","infectious","9606","5","Yes","No","No","No","4"
"viral replication compartment (VRC)","66E96190","infectious","9606","2","No","Yes","No","No","4"
"viral replication compartment (VRC)","F289E8A4","biomolecular","10315","1","No","No","No","No","5"
"Virus-induced replication (VIR) condensate","8A33FC22","infectious","4100","1","No","No","No","No","4"
"VRN1 nuclear body","9BAE09A1","biomolecular","3702","1","Yes","No","No","No","5"
"WHI3 cluster","F0168FE2","biomolecular","559292","1","No","No","No","No","4"
"WNK body","62836ADF","biomolecular","10090","4","No","No","No","No","4"
"Yb-body","DB0924F8","biomolecular","7227","4","No","Yes","No","No","1"
"YBX1 condensate","5253F164","biomolecular","9606","1","No","Yes","No","No","4"
"Z-granule","060EE9EF","biomolecular","6239","3","No","Yes","No","No","1"
"ZNFX1 condensate","86762C76","biomolecular","9606","2","No","No","No","No","1"
"α-synnuclein condensates","6ECDA717","biomolecular","9606","1","No","No","Yes","No","4"
"α-synuclein condensates","97270867","biomolecular","10090","3","No","No","No","Yes","5"
"α-synuclein condensates","B4E97D43","biomolecular","9606","3","No","No","Yes","Yes","4"
